times,I1,I2
0.0,0.0010243048364453307,0.0010354051460299404
1.0,0.001044595453798564,0.0010687052074982062
2.0,0.0010675626197951375,0.0011101508492903837
3.0,0.0010909674846259546,0.0011561896125009505
4.0,0.0011172087356815089,0.0012120777836538543
5.0,0.0011415049033062924,0.0012676389327560315
6.0,0.0011662091314590583,0.0013277464319799029
7.0,0.0011913086719189238,0.0013924473722555582
8.0,0.0012167890375285755,0.001461813883264001
9.0,0.0012426338929098974,0.0015359405455119368
10.0,0.0012688249451892218,0.0016149420577639215
11.0,0.0012953418353470834,0.0016989511056925961
12.0,0.0013221620309211302,0.0017881163826755555
13.0,0.0013492607209109908,0.001882600717953359
14.0,0.0013766107138601428,0.0019825792709945857
15.0,0.0014041823402217747,0.002088237754008326
16.0,0.0014319433602523778,0.0021997706472127268
17.0,0.001459858878817292,0.0023173793738159153
18.0,0.0014850839003850546,0.0024285926402940685
19.0,0.0015131869909918913,0.0025583168395583986
20.0,0.0015413277048277952,0.0026947222872393249
21.0,0.001569460158744527,0.0028380183248408399
22.0,0.0015975355519856492,0.0029884107497092425
23.0,0.0016255021574559016,0.0031460991914214346
24.0,0.001653305333150547,0.0033112742783653676
25.0,0.0016808875560842098,0.0034841145805884115
26.0,0.0017081884811010353,0.0036647833189880799
27.0,0.0017351450269538138,0.0038534248356025358
28.0,0.0017616914920017927,0.004050160825210149
29.0,0.0017877597017877016,0.0042550863347380723
30.0,0.0018132791906064162,0.004468265544158868
31.0,0.0018381774189631459,0.004689727350644218
32.0,0.0018623800285310428,0.0049194607867336605
33.0,0.0018858111358505214,0.005157410313109562
34.0,0.0019083936655604789,0.0054034710371419796
35.0,0.0019300497234119875,0.0056574839195149221
36.0,0.0019507010086872174,0.005919231042739846
37.0,0.001970269264932534,0.0061884310269031059
38.0,0.0019886767671206309,0.0064647346892091331
39.0,0.0020058468424918119,0.0067477210543250687
40.0,0.0020217044214031294,0.0070368938316942402
41.0,0.0020361766135546726,0.0073316784832976383
42.0,0.0020491933039880946,0.0076314200101986933
43.0,0.0020606877622914204,0.0079353815879858996
44.0,0.0020705972575280115,0.0082427441793243138
45.0,0.0020788636705715256,0.0085526072456859666
46.0,0.0020854340948100207,0.0088639906694883801
47.0,0.0020902614156189719,0.0091758379820034552
48.0,0.0020933048586318287,0.0094870209713596304
49.0,0.0020945304966916043,0.0097963457188232073
50.0,0.0020939117054765786,0.010102560080638917
51.0,0.002091429558178801,0.010404362597641673
52.0,0.0020870731502876882,0.010700412776512028
53.0,0.0020808398464937511,0.010989342646102752
54.0,0.0020727354429679974,0.011269769451122725
55.0,0.002062774239766967,0.011540309305228249
56.0,0.0020509790198248688,0.01179959158796243
57.0,0.0020373809328744314,0.012046273836753959
58.0,0.0020220192846284405,0.012279056858022113
59.0,0.0020049412335883879,0.012496699761846697
60.0,0.0019862013998549022,0.01269803461388563
61.0,0.001965861392225216,0.012881980397128885
62.0,0.0019439892616074927,0.013047555985098743
63.0,0.0019206588902983014,0.013193891847194182
64.0,0.0018959493279057387,0.013320240235489269
65.0,0.0018699440856168865,0.013425983639414194
66.0,0.0018427304010792133,0.013510641338934383
67.0,0.0018143984863812181,0.013573873936318849
68.0,0.0017850407714837171,0.013615485799338002
69.0,0.0017547511549897423,0.013635425402620784
70.0,0.0017236242733810248,0.013633783606801368
71.0,0.0016917547988357534,0.013610789964992013
72.0,0.0016592367745266389,0.013566807191251945
73.0,0.0016261629949355118,0.013502323964616463
74.0,0.0015926244372675058,0.013417946273810905
75.0,0.0015553009245348299,0.013303007107782091
76.0,0.0015210715439446024,0.01317928809012711
77.0,0.0014866426604970158,0.013038186589878247
78.0,0.0014520930817668056,0.012880676969230186
79.0,0.0014174978084225674,0.012707792862428855
80.0,0.001382927825754829,0.012520614833373449
81.0,0.0013484499505175089,0.012320258247534494
82.0,0.0013141267296232571,0.012107861542569171
83.0,0.0012800163867101645,0.01188457505643273
84.0,0.0012461728122318118,0.011651550544789209
85.0,0.001212645592502489,0.011409931492145756
86.0,0.001179480073039483,0.011160844294275501
87.0,0.0011467174515675013,0.010905390363909096
88.0,0.0011143948961685143,0.010644639187963378
89.0,0.0010825456842554742,0.010379622343177804
90.0,0.0010511993583030858,0.010111328458238405
91.0,0.0010203818945668101,0.0098406990944403267
92.0,0.00099011588134794533,0.0095686255037123469
93.0,0.00096042070370506495,0.0092959462123388386
94.0,0.00093131273185937291,0.0090234453708267527
95.0,0.00090280551088461783,0.0087518518048790885
96.0,0.00087490994960388803,0.0084818386991124695
97.0,0.00084763450693039523,0.0082140238437317607
98.0,0.00082098537418326834,0.0079489703745752628
99.0,0.00079496665217981734,0.0076871879384976024
100.0,0.0007695805221511723,0.0074291342187019884
101.0,0.00074482740974813526,0.0071752167581240738
102.0,0.00072070614159870498,0.0069257950230830001
103.0,0.00069721409404885934,0.0066811826539525439
104.0,0.00067434733386501501,0.0064416498543938576
105.0,0.00065210075080171276,0.0062074258755841988
106.0,0.00063046818204319293,0.0059787015567511811
107.0,0.0006094425286144895,0.0057556318880815282
108.0,0.00058901586392834924,0.0055383385666399939
109.0,0.00056917953469049788,0.0053269125202507423
110.0,0.00054992425442932746,0.0051214163783195061
111.0,0.00053124018994861228,0.0049218868722840908
112.0,0.00051311704102495015,0.0047283371517595207
113.0,0.0004955441136866855,0.0045407590054883434
114.0,0.0004785103874193862,0.0043591249789205703
115.0,0.00046200457664567616,0.0041833903826417277
116.0,0.00044601518682538417,0.0040134951879566734
117.0,0.00043053056551644876,0.0038493658077396143
118.0,0.00041553894872860242,0.0036909167621976893
119.0,0.00040102850289120426,0.0035380522304885404
120.0,0.00038698736274427417,0.0033906674902038064
121.0,0.000373403665448282,0.0032486502476027444
122.0,0.00036026558119396179,0.0031118818621749204
123.0,0.00034756134057869028,0.0029802384696488897
124.0,0.00033527925900106155,0.0028535920079646362
125.0,0.00032340775831042162,0.0027318111510094755
126.0,0.00031193538593347642,0.0026147621550970919
127.0,0.00030085083168578856,0.0025023096232625946
128.0,0.00029014294246213613,0.0023943171924669629
129.0,0.00027980073498639436,0.0022906481487643014
130.0,0.00026981340678887368,0.0021911659753961659
131.0,0.00026017034556694187,0.0020957348386484182
132.0,0.00025086113707328801,0.0020042200161462902
133.0,0.00024187557166536171,0.0019164882720799138
134.0,0.00023320364963934297,0.0018324081836518799
135.0,0.000224835585462448,0.0017518504228258825
136.0,0.00021676181100844469,0.0016746879972357638
137.0,0.00020897297789291609,0.001600796453891127
138.0,0.00020145995899704245,0.0015300540490923904
139.0,0.0001942138492614551,0.0014623418877471798
140.0,0.00018722596582501104,0.0013975440350635605
141.0,0.00018048784757712622,0.0013355476033852687
142.0,0.00017399125418655396,0.0012762428167312468
143.0,0.00016772816466417722,0.001219523055407213
144.0,0.00016169077551247317,0.0011652848828714972
145.0,0.00015587149850977461,0.0011134280568612844
146.0,0.00015026295817327669,0.0010638555266190459
147.0,0.00014485798894088581,0.0010164734179023236
148.0,0.00013964963210846658,0.00097119100731316661
149.0,0.00013463113255578072,0.00092792068734620138
150.0,0.00012979593529141619,0.00088657792342634976
151.0,0.00012513768184425146,0.0008470812040882686
152.0,0.00012065020652646905,0.00080935198533932634
153.0,0.00011632753259081224,0.00077331463014596936
154.0,0.00011216386830264878,0.00073889634388927779
155.0,0.00010815360294545126,0.000706027106548906
156.0,0.00010429130277651348,0.00067463960229506798
157.0,0.0001005717069480803,0.00064466914709529748
158.0,9.6989723407566532e-05,0.00061605361487598843
159.0,9.3540424789162127e-05,0.00058873336271778834
160.0,9.0219044307862282e-05,0.00056265115550836525
161.0,8.7020971665807646e-05,0.00053775209042553149
162.0,8.3941748979765403e-05,0.00051398352157780154
163.0,8.0977066737618233e-05,0.00049129498508784363
164.0,7.8122759790846702e-05,0.0004696381248666309
165.0,7.5374803389186232e-05,0.00044896661929206969
166.0,7.2729309262904891e-05,0.00042923610897522245
167.0,7.0182521757477162e-05,0.0004104041257696388
168.0,6.7730814024817622e-05,0.00039243002315452553
169.0,6.5370684274680544e-05,0.00037527490810027411
170.0,6.3098752089322892e-05,0.00035890157450500565
171.0,6.0911754804066153e-05,0.00034327443827306922
172.0,5.880654395597093e-05,0.00032835947409066361
173.0,5.6780081802455524e-05,0.00031412415393975628
174.0,5.4829437911342232e-05,0.0003005373873790831
175.0,5.2951785823499223e-05,0.00028756946361008836
176.0,5.114439978896018e-05,0.00027519199533605342
177.0,4.9404651577144348e-05,0.00026337786441425255
178.0,4.7730007361565756e-05,0.00025210116929363284
179.0,4.6118024679208656e-05,0.00024133717422415455
180.0,4.4566349464555472e-05,0.00023106226021843307
181.0,4.3072713158082112e-05,0.00022125387774161824
182.0,4.1634929888881006e-05,0.00021189050110144561
183.0,4.0250893730934477e-05,0.00020295158450701868
184.0,3.8918576032437491e-05,0.00019441751976207776
185.0,3.7636022817458911e-05,0.00018626959555620166
186.0,3.6401352259132866e-05,0.00017848995831553307
187.0,3.5212752223485379e-05,0.00017106157457315755
188.0,3.4068477882925831e-05,0.00016396819481815972
189.0,3.2966849398365909e-05,0.00015719431878158274
190.0,3.1906249668871422e-05,0.00015072516211699717
191.0,3.088512214770219e-05,0.00014454662443310468
192.0,2.9901968723552849e-05,0.00013864525863573366
193.0,2.8955347665771477e-05,0.00013300824153669787
194.0,2.8043871632303114e-05,0.00012762334568726635
195.0,2.7166205739080958e-05,0.00012247891239440401
196.0,2.6321065689568871e-05,0.00011756382587847512
197.0,2.550721596314421e-05,0.00011286748853173376
198.0,2.472346806099959e-05,0.00010837979723764339
199.0,2.39686788082357e-05,0.0001040911207118563
200.0,2.3241748710814243e-05,9.9992277826531692e-05
201.0,2.25416203660401e-05,9.6074516880566358e-05
202.0,2.1867276925244918e-05,9.232949577924546e-05
203.0,2.1217740607349784e-05,8.8749263087783059e-05
204.0,2.0592071261992691e-05,8.5326239924205953e-05
205.0,1.9989364980916456e-05,8.205320265803301e-05
206.0,1.9408752756324719e-05,7.89232663822091e-05
207.0,1.8849399184927377e-05,7.5929869126763463e-05
208.0,1.8310501216411846e-05,7.3066756783671545e-05
209.0,1.7791286945093222e-05,7.0327968713404041e-05
210.0,1.729101444351406e-05,6.7707824004642467e-05
211.0,1.6808970636783238e-05,6.5200908359624673e-05
212.0,1.6344470216463309e-05,6.2802061578554633e-05
213.0,1.5896854592835898e-05,6.0506365617464418e-05
214.0,1.5465490884396322e-05,5.8309133194852785e-05
215.0,1.5049770943450078e-05,5.6205896923341663e-05
216.0,1.4649110416706358e-05,5.4192398943487741e-05
217.0,1.4262947839786306e-05,5.2264581037760975e-05
218.0,1.3890743764586861e-05,5.0418575203553947e-05
219.0,1.3531979918464219e-05,4.8650694664915241e-05
220.0,1.3186158394224435e-05,4.695742530350539e-05
221.0,1.2852800869932242e-05,4.5335417490056529e-05
222.0,1.2531447857572822e-05,4.3781478298374573e-05
223.0,1.2221657979624819e-05,4.2292564084658026e-05
224.0,1.1923007272626594e-05,4.0865773415617421e-05
225.0,1.1635088516841066e-05,3.9498340329567323e-05
226.0,1.1357510591148048e-05,3.8187627915326158e-05
227.0,1.1089897852316016e-05,3.6931122194400346e-05
228.0,1.0831889537828425e-05,3.5726426292546994e-05
229.0,1.0583139191462342e-05,3.4571254887405695e-05
230.0,1.0343314110839821e-05,3.3463428919463553e-05
231.0,1.011209481619461e-05,3.240087055417046e-05
232.0,9.8891745396187739e-06,3.1381598383553316e-05
233.0,9.6742587340754879e-06,3.0403722856189284e-05
234.0,9.4670646014854881e-06,2.946544192488961e-05
235.0,9.2673206392156768e-06,2.8565036901917843e-05
236.0,9.0747662043189601e-06,2.7700868512019789e-05
237.0,8.8891510948945331e-06,2.6871373133977632e-05
238.0,8.7102351479577848e-06,2.6075059221818564e-05
239.0,8.5377878532282945e-06,2.5310503897208427e-05
240.0,8.3715879822635063e-06,2.4576349704945333e-05
241.0,8.2114232323842737e-06,2.3871301523835745e-05
242.0,8.0570898848566506e-06,2.3194123625588582e-05
243.0,7.90839247681219e-06,2.2543636874700124e-05
244.0,7.7651434864063141e-06,2.1918716062626124e-05
245.0,7.6271630307313625e-06,2.1318287369846816e-05
246.0,7.49427857601748e-06,2.074132594972653e-05
247.0,7.3663246596706213e-06,2.0186853628353072e-05
248.0,7.2431426237127565e-06,1.9653936714812534e-05
249.0,7.1245803592046482e-06,1.9141683916614556e-05
250.0,7.0104920612464958e-06,1.8649244355230109e-05
251.0,6.9007379941663363e-06,1.8175805676940949e-05
252.0,6.7951842665201367e-06,1.7720592254425264e-05
253.0,6.693702615541325e-06,1.7282863474720349e-05
254.0,6.5961702006908155e-06,1.6861912109409025e-05
255.0,6.5024694059715899e-06,1.6457062763073349e-05
256.0,6.4124876506844601e-06,1.6067670396247047e-05
257.0,6.3261172083139079e-06,1.569311891927737e-05
258.0,6.2432550332447085e-06,1.5332819853678126e-05
259.0,6.1638025950216387e-06,1.4986211057718889e-05
260.0,6.087665719875639e-06,1.4652755513151008e-05
261.0,6.0147544392506726e-06,1.4331940170119597e-05
262.0,5.9449828450760205e-06,1.4023274847452182e-05
263.0,5.878268951538872e-06,1.3726291185649667e-05
264.0,5.8145345631219195e-06,1.3440541650034034e-05
265.0,5.7537051486802345e-06,1.316559858162974e-05
266.0,5.6957097213408286e-06,1.2901053293472602e-05
267.0,5.640480724017346e-06,1.264651521015154e-05
268.0,5.587953920340837e-06,1.2401611048494295e-05
269.0,5.5380682908160277e-06,1.2165984037409662e-05
270.0,5.490765934020479e-06,1.1939293174994734e-05
271.0,5.4459919726718895e-06,1.1721212521107524e-05
272.0,5.4036944643963029e-06,1.1511430523692524e-05
273.0,5.3638243170372798e-06,1.1309649377229938e-05
274.0,5.3263352083531356e-06,1.111558441175834e-05
275.0,5.2911835099561143e-06,1.0928963510995982e-05
276.0,5.2583282153539544e-06,1.0749526558157519e-05
277.0,5.2277308719606199e-06,1.057702490813129e-05
278.0,5.1993555169490806e-06,1.0411220884747034e-05
279.0,5.173168616824902e-06,1.0251887301925914e-05
280.0,5.1491390106051053e-06,1.0098807007563282e-05
281.0,5.1272378564922184e-06,9.9517724490507411e-06
282.0,5.1074385819387129e-06,9.810585259397043e-06
283.0,5.0897168370021038e-06,9.6750558629581087e-06
284.0,5.0740504508958778e-06,9.5450030998344905e-06
285.0,5.0604193916461036e-06,9.4202538680403317e-06
286.0,5.0488057287681406e-06,9.300642782591489e-06
287.0,5.0391935988821558e-06,9.1860118507016552e-06
288.0,5.0315691741903702e-06,9.0762101623148335e-06
289.0,5.0259206337429506e-06,8.9710935952397748e-06
290.0,5.0222381374233002e-06,8.8705245341875605e-06
291.0,5.0205138025871797e-06,8.7743716030472473e-06
292.0,5.020741683293622e-06,8.6825094097665894e-06
293.0,5.0229177520689381e-06,8.5948183032353713e-06
294.0,5.0270398841483652e-06,8.5111841415977765e-06
295.0,5.033107844142926e-06,8.4314980714478136e-06
296.0,5.0411232750820035e-06,8.3556563173878938e-06
297.0,5.0510896897848878e-06,8.2835599814555082e-06
298.0,5.0630124645171627e-06,8.2151148519465247e-06
299.0,5.0768988348902861e-06,8.1502312211859779e-06
300.0,5.0927578939650291e-06,8.0888237118185291e-06
301.0,5.10872670837444e-06,8.0364618314503973e-06
302.0,5.1283655826884571e-06,7.9814385267273689e-06
303.0,5.150014031277269e-06,7.9296667410748345e-06
304.0,5.1736884133795168e-06,7.881076472825022e-06
305.0,5.1994069670752132e-06,7.8356013096527477e-06
306.0,5.2271898196989921e-06,7.7931782974389263e-06
307.0,5.2570590002376389e-06,7.7537478151992979e-06
308.0,5.2890384536859088e-06,7.7172534557844e-06
309.0,5.3231540573356459e-06,7.6836419120700234e-06
