# BEAST v1.8.1, r6542
# Generated Fri Jul 03 15:49:00 PDT 2015 [seed=1435963717157]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	H3N2.clock.rate	cluster.clock.rate	cluster.rates1	cluster.rates2	cluster.rates3	cluster.rates4	cluster.rates5	cluster.rates6	cluster.rates7	cluster.rates8	cluster.rates9	cluster.rates10	cluster.rates11	cluster.rates12	cluster.rates13	cluster.rates14	cluster.rates15	cluster.rates16	cluster.rates17	cluster.rates18	cluster.rates19	cluster.rates20	cluster.rates21	cluster.rates22	cluster.rates23	cluster.rates24	cluster.rates25	cluster.rates26	cluster.rates27	cluster.rates28	cluster.indicators1	cluster.indicators2	cluster.indicators3	cluster.indicators4	cluster.indicators5	cluster.indicators6	cluster.indicators7	cluster.indicators8	cluster.indicators9	cluster.indicators10	cluster.indicators11	cluster.indicators12	cluster.indicators13	cluster.indicators14	cluster.indicators15	cluster.indicators16	cluster.indicators17	cluster.indicators18	cluster.indicators19	cluster.indicators20	cluster.indicators21	cluster.indicators22	cluster.indicators23	cluster.indicators24	cluster.indicators25	cluster.indicators26	cluster.indicators27	cluster.indicators28	cluster.nonZeroRates	treeLikelihood	cluster.treeLikelihood	coalescent
100000	-13585.996099569702	-1665.9846817443965	-11920.011417825306	72.33991272605655	301.1360918969878	6.364150103064351	0.3268468718615415	0.22750529920048349	0.2099058716405044	0.23574195729747066	3.759414623387623E-4	0.0049275298651509526	0.4383710789712311	0.2989658348646041	0.3759099004539865	0.17009076493363973	4.670362076830394	0.0918169437321887	1.0242849210370273	1.137470392240756	3.0483996610825375	0.8042760418551937	1.213816539554563	0.708439873718082	0.08840817317555168	0.7616893406364895	1.933915100846004	0.6737880572052948	1.566997605645311	1.025698330482375	0.7277613159240863	0.43760108055993907	1.488738511542841	1.6681534784932004	0.6643085540498521	0.23787830228566856	1.9612452514242116	0.13731135368667324	0.9812041701507501	0.34648943342795324	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	9.0	-11804.370634702149	-115.6407831231572	-1627.6977187828045
110000	-13513.268363089153	-1654.013663789931	-11859.254699299223	79.3249179154747	304.72471179915	5.09131076445978	0.3504912106699963	0.1937985404517533	0.20799569140282584	0.24771455747542462	3.9919828605150954E-4	0.005719159441022237	0.3493796119848832	0.16600086005806924	1.8553581946315498	4.811708317063024	1.0908106788300178	0.06275520315811943	0.5102225757424208	0.3143923778581711	1.5789442610953932	0.850230568173733	0.8798132938904106	1.2626736534757381	0.7358903749408678	0.5228641818604365	0.6998318509174305	1.366364935032121	0.5347000089917089	1.201319254423684	0.8608820276632737	1.9485825431466652	0.501925741955012	0.4526564739758583	0.2747219435059347	0.6453671648468464	0.1519110501731169	0.1874617650094712	0.7954435639580657	0.3134507908029466	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	9.0	-11743.945662634833	-115.30903666438995	-1618.372646180188
120000	-13430.357315682631	-1626.315149131385	-11804.042166551246	62.346033615810384	236.7870563784738	6.136429971666574	0.33940453306278684	0.20377704512119726	0.19833411476201435	0.2584843070540016	4.308410215465686E-4	0.006905283548362687	0.3973285505666167	0.7037689565573005	0.02544837884802935	0.12647298198858625	0.8816589435201232	0.4594436848528691	2.708700168127207	0.06902338863725148	0.18943875169867325	1.7449671266334241	0.40940792325862674	0.3192039352235452	1.1467419612530925	1.3032843036146962	0.8955055551306725	0.18212530478904265	2.1232932894947276	0.4526096176580463	0.509567175168359	2.961598359633192	0.19040307945213536	1.2750523400317721	0.4701735143204504	0.3748296523731238	0.7169970786584332	0.10356024022481636	1.4478912043778445	1.0209948579585646	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	10.0	-11690.097848022082	-113.94431852916424	-1589.3398432094523
130000	-13363.549375258099	-1610.1055091284811	-11753.443866129617	56.356627712904924	218.46239900630312	5.879945382059068	0.3400118458387894	0.20377704512119726	0.19772680198601178	0.2584843070540016	4.279173468968031E-4	0.011215581015664547	0.42610472846230846	0.37011810205726703	1.0262216322708706	5.7892572901935635	0.4305767681065224	2.736610439745535	0.6509391122003071	0.18109720712579455	0.12177234629573126	0.1641762455912612	0.9580611593647651	2.3410858330648123	0.4086004300122117	0.6406310624615229	1.1971567456886605	0.016045465977564646	1.4976081428530128	0.07248708145037996	1.4275001380068069	0.7749549739599987	1.413725957355402	2.06027254655372	0.503346019754059	0.22308305723172012	0.4993799178550028	1.7258757704176024	0.7320273098379476	0.8807775888182854	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	8.0	-11642.339289762509	-111.1045763671074	-1562.676468062039
140000	-13322.214687117917	-1568.6119305948969	-11753.60275652302	58.841891769637435	217.4681297283758	5.879945382059068	0.3400118458387894	0.20377704512119726	0.19772680198601178	0.2584843070540016	4.77763461912202E-4	0.006913674886475171	0.40048386247181944	1.4699793482170196	0.693379223511032	0.7028179367438182	1.5126473302154075	0.3158495503499403	0.8776984350897236	0.6557119259624948	0.08944365840671774	0.9282600066049337	0.15550822733730577	1.019196295770383	3.5952533320160684	0.6538770121749645	1.1935901430194287	0.2902295674085267	0.6051251606910477	0.2481556075705361	0.7822933468783214	1.4009362101632152	0.43579241284991305	1.5800789226067542	0.28067391736816255	1.2138760689629975	0.37982902545712516	1.151328338482487	2.596347121499247	0.6429563067367868	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	8.0	-11640.42894174442	-113.17381477859963	-1533.2527503223537
150000	-13311.81393872426	-1569.5838481769056	-11742.230090547355	55.12976312204234	220.70260849263002	5.879945382059068	0.3431885392162112	0.20377704512119726	0.19772680198601178	0.25530761367657984	4.5638138871290665E-4	0.007930018733307752	0.5635366901827581	0.21664413782983943	0.33072956520325647	0.6151147134380215	1.4908702691961215	0.11548414079930758	1.5898959037723206	0.3377076301870515	2.879891543252574	0.3683164080671227	1.5580125518348196	0.23461540426408375	0.3907501515489915	1.0680182859447709	3.1349852878261206	1.3995433918424514	0.45679506514321055	1.2161047791713429	0.6049745165486416	0.9396733711081945	1.1229348646082706	1.277197967701551	0.7756645199192901	0.7414632852455572	0.9431818582410001	0.4062272795315923	4.325319782365234	0.6629561889247537	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	8.0	-11631.0498362756	-111.18025427175441	-1528.7811749447967
160000	-13293.686780180384	-1556.8405088460706	-11736.846271334312	53.49297328319151	196.8893144814365	5.97243411713086	0.3431885392162112	0.21184575103186476	0.19772680198601178	0.24723890776591234	4.8310872715515076E-4	0.0052815802968096785	1.5140190154314357	0.23054475189905915	0.2988386502425071	0.3062021858281692	0.7386430236641424	1.1953997317305816	3.0115457045573453	1.0790184157467417	3.1229440444742567	0.029605755098250884	0.7724091671750569	0.06832981383228591	1.2438673769541535	2.0364560031584897	0.01697046200519235	0.3778949108408292	0.8121500458942349	1.3607855612876503	2.0969207931023317	2.9091964374435375	1.0643489583483925	3.291350923435723	2.1199150900662365	0.41553580546561225	0.4511228453793417	0.7932557729696069	2.1637838934010016	2.413804578024165	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	10.0	-11621.502088235497	-115.34418309881674	-1512.327301319166
170000	-13244.843020296577	-1520.2114888438925	-11724.631531452686	48.235852134805	160.93148419204613	5.97243411713086	0.3380911459502601	0.20774801000571413	0.20692193627811342	0.24723890776591234	5.192175047768749E-4	0.006564814517241144	1.9843571035345953	1.4972110974854624	0.5114313519247984	0.10855593850414473	0.3051650242263402	0.7330731693391129	0.14923537447120594	0.7408666381388894	0.7398959029694352	0.17805387838539333	2.0425192559125978	2.2368453226182803	0.017509035427874936	0.9499573402739442	2.168962760789199	0.49895929980298737	1.1951425785488112	1.0915177843468478	1.803417814416626	1.4386298161638864	1.2246897998831214	4.720587104936957	0.4861564508175643	0.5115551143743312	1.5989020327382273	0.08602249344664145	1.762766662217681	0.10008101743144393	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	10.0	-11612.393573740328	-112.23795771235721	-1479.4519175272933
180000	-13223.320110467917	-1501.6558244892071	-11721.66428597871	53.961494352434926	165.94509444914166	5.6092383119376805	0.3380911459502601	0.21081874790119445	0.20692193627811342	0.24416816987043202	5.204956323262281E-4	0.008061252806821616	0.2593214388742806	1.0342537985131428	1.8008736189968717	1.781178352830655	0.924863532260657	0.9538031600701229	1.4204379741257904	0.5690421943147141	0.27327377452277557	1.0565175506812123	2.17295183921616	0.44182142459109497	1.3054489825040345	0.6674809407871263	2.1006150991521064	0.21782064223939535	0.17512386799462315	0.7899594625023938	1.8288463109681552	0.9862935748917406	0.9099730208495552	1.8643169431145366	0.15984455699674124	0.11984436220353895	0.1543279993333636	0.0016742552263997183	0.04656579664581974	0.23675804594615815	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	9.0	-11618.559671942128	-103.10461403658222	-1467.0318902031738
190000	-13182.046784139664	-1489.0093867557828	-11693.037397383881	48.74480330053021	137.93880981997916	5.809076790636724	0.34102073045550796	0.20195649705261248	0.2001219140515693	0.25690085844031024	5.679927879379499E-4	0.007170305604727819	0.44499481114974937	0.7917053882973561	0.2542005180425445	0.5436214592152303	0.4735424737787396	2.904909798163427	0.12306083104411993	0.7072318562633116	1.8279766340391848	2.3834863005477405	0.7294366672187633	1.6901027542541207	2.0348688599561546	1.9457662231614028	0.41388163960563557	4.120542593570237	2.0744932308137747	0.8338225408185196	1.6778664433140849	2.6226927222906085	1.6119494422783212	4.339900445009492	0.30383471818301705	2.762753215691313	0.19575147292105732	0.0029231941883801986	2.984896067488947	0.41368319056574476	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	-11581.145293077498	-111.89210430638445	-1440.4727529745069
